,Actual,Predicted
1732,32500.0,28286.728200083668
8087,15400.0,10045.98532022491
1496,18500.0,12798.569313001375
8706,12500.0,11123.0344806157
7100,3500.0,8468.90973315307
2388,4700.0,8460.124245289137
8614,8000.0,10065.602604100595
7452,3300.0,5462.901796179681
4264,19800.0,12343.905516302664
4797,7600.0,10595.924590823166
3799,7000.0,8671.087183573984
5487,10200.0,8796.530938443255
2825,5100.0,9109.392319604047
1937,9300.0,8227.220541177652
381,11100.0,8859.846810212512
6659,9500.0,6743.390704285046
7263,5300.0,6231.721335920024
4466,31500.0,26056.972839517384
108,11400.0,10340.968537958972
7547,9600.0,7925.90679442333
7876,10100.0,9558.750213757465
5680,16400.0,12987.649303135937
5082,16300.0,25516.71111961651
1183,23300.0,26313.013302367228
8603,7000.0,8926.467344579123
4682,3700.0,7633.203084022787
1250,9900.0,9821.139128874593
388,10900.0,10061.226274844867
5545,4700.0,7928.371112605756
7328,15300.0,14018.38150480804
1199,8400.0,6072.926072454175
620,15300.0,12867.422757872147
1770,9800.0,12311.182961480308
6378,9500.0,7757.277199969027
2954,19900.0,27890.602780330923
6925,4200.0,6966.0822198496235
4534,9600.0,6540.266543733235
6242,8200.0,9688.77595219479
2701,7600.0,10703.47288970669
6691,5500.0,6690.7465702136815
7134,4700.0,5270.572063856622
222,6100.0,8554.119551647016
4180,15100.0,12880.161340447332
3550,12700.0,11524.841609284362
3044,11900.0,11854.216166296017
9432,11700.0,8947.801008841892
6405,14800.0,12435.311763999467
6372,2500.0,7591.643109846044
7177,10100.0,8112.242006416228
5046,7800.0,8612.24971160527
8960,6400.0,6592.040534488072
6823,8400.0,9618.706902904098
5458,9600.0,9234.038842278742
3578,9800.0,11519.641378781418
4661,10100.0,9246.430632108317
1018,13300.0,12915.145722133762
9487,16900.0,26654.77575081956
2513,4500.0,7268.4936371687145
4099,13700.0,10674.031503167904
4381,11800.0,11244.285241829437
7722,11600.0,9699.16072570125
3114,31900.0,24307.417158919423
2465,10000.0,10245.140199128973
7856,10800.0,10181.07321217716
8532,9500.0,8689.600536184542
8463,7200.0,10122.262080570448
7786,36000.0,25135.545124914042
1741,8200.0,10733.340098056387
958,10100.0,8238.290772611352
3133,12600.0,9443.885723234887
7563,29900.0,27186.77049663066
92,12300.0,9867.291045740863
2882,8400.0,8997.084996832575
3852,10000.0,7061.47211591517
7237,12300.0,11581.127606071683
3355,10800.0,12480.848363723158
8546,31600.0,25263.06321759191
8656,8000.0,6297.298921758555
4486,6500.0,7494.731816816392
8271,5500.0,7915.611545925997
6975,7500.0,11279.310416622076
2729,18300.0,25080.502735073
3733,6000.0,10044.213766486677
4961,4300.0,10706.21856149137
8899,11300.0,10120.88110670357
4386,10000.0,9233.536728636751
3933,11000.0,7643.658784609366
7505,11200.0,6495.429563722541
8566,2500.0,6815.7760689853785
7605,10700.0,8216.516344114638
7807,12100.0,9017.710181190207
1112,11600.0,8984.007873226295
10,6900.0,9681.35663543039
5747,8400.0,8312.367562149215
8244,7300.0,9410.849186019806
1765,6400.0,4405.712727814414
8278,10700.0,11173.729598827458
3844,6900.0,6927.144985947455
5904,4200.0,8452.232243610466
7162,11200.0,11436.895930867024
3903,26000.0,14464.386030617272
2483,12100.0,8947.818200324253
3869,10200.0,12514.137574033337
8426,14600.0,11096.698404992609
6226,14600.0,8915.59485240687
8832,15700.0,12516.527234527472
6009,4000.0,6526.62615696626
7603,14200.0,12645.194545124621
4055,2500.0,4051.0068012919796
7165,2500.0,6222.567997113237
1393,13700.0,11409.66812103088
2515,14600.0,12010.116610515073
6013,7600.0,8892.929599856829
5229,6300.0,7052.531702513196
3785,21600.0,15265.394029912812
5927,3000.0,4465.975137626824
5580,4700.0,5843.120266975262
4394,12400.0,9016.676649858586
3813,15000.0,8030.704220154044
3916,13700.0,11537.649671836267
1665,8800.0,6892.575105940823
2534,8500.0,11108.621143364195
1103,11100.0,10518.588995894475
8274,11000.0,23326.120529894888
5489,3000.0,4680.294196209198
2337,11900.0,12259.379154789638
135,6900.0,6754.4001630132525
4553,7600.0,9136.99666885192
2737,3400.0,6731.846718908773
1527,2600.0,8835.742289544467
2012,3900.0,6783.2456579252275
2358,13400.0,9517.70703849339
6629,9000.0,10730.84464279361
7797,10700.0,9078.72312799303
8707,11900.0,11065.36020267528
6141,26500.0,24111.153167905453
1217,4000.0,5177.74071851403
7389,7700.0,9041.080931786459
2868,4400.0,5268.259587864769
8431,12400.0,10105.347483168256
6952,10800.0,11028.843685397569
761,12500.0,8712.198240219072
9341,11700.0,6835.037455266835
2008,8000.0,11443.76074433368
1084,9500.0,8823.574630562565
1965,4600.0,9867.291045740863
4539,13000.0,10807.632103635631
4629,2500.0,3576.432164958853
4210,12900.0,11663.181657180421
4587,16000.0,13530.38372944304
3106,16400.0,15382.342369724562
1056,29700.0,26929.054938090485
5356,8300.0,7300.542487810416
5003,10600.0,8980.05950454173
3885,7700.0,9288.253676426764
708,3700.0,6817.723714607721
8950,3300.0,6956.987620036404
509,10200.0,7035.473349150569
8588,6600.0,8175.858093761735
6775,3800.0,5573.92501684936
